"","artist_name","track_name","energy","danceability","energy.1","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","jack"
"109","Lana Del Rey","Art Deco",0.464,0.282,0.464,11,-11.112,0,0.0533,0.544,0.215,0.111,0.0596,148.345,"0"
"110","Lana Del Rey","Burnt Norton - Interlude",0.304,0.28,0.304,8,-18.57,1,0.0359,0.9,0.806,0.135,0.523,85.765,"0"
"111","Lana Del Rey","Religion",0.459,0.416,0.459,9,-9.977,0,0.0366,0.813,0.0428,0.102,0.175,135.689,"0"
"112","Lana Del Rey","Salvatore",0.311,0.304,0.311,11,-9.647,0,0.0344,0.675,0.00195,0.12,0.115,117.68,"0"
"113","Lana Del Rey","The Blackest Day",0.522,0.445,0.522,2,-8.007,1,0.0331,0.363,0.000487,0.0797,0.162,107.752,"0"
"114","Lana Del Rey","24",0.372,0.284,0.372,8,-9.821,0,0.0356,0.782,0.000183,0.103,0.0853,98.181,"0"
"115","Lana Del Rey","Swan Song",0.361,0.34,0.361,1,-11.567,0,0.0294,0.636,0.421,0.259,0.0392,81.765,"0"
"116","Lana Del Rey","Don't Let Me Be Misunderstood",0.351,0.327,0.351,9,-10.488,0,0.0327,0.316,5.93e-06,0.107,0.063,80.386,"0"
"117","Lana Del Rey","Honeymoon",0.269,0.169,0.269,5,-13.265,0,0.036,0.953,0.00828,0.111,0.173,74.847,"0"
"118","Lana Del Rey","Music To Watch Boys To",0.494,0.4,0.494,1,-8.04,0,0.0367,0.713,0.000334,0.238,0.134,132.016,"0"
"119","Lana Del Rey","Terrence Loves You",0.25,0.296,0.25,7,-10.088,1,0.0314,0.975,0.0187,0.0988,0.0898,102.031,"0"
"120","Lana Del Rey","God Knows I Tried",0.428,0.398,0.428,5,-8.292,0,0.0275,0.846,0.0338,0.185,0.111,81.017,"0"
"121","Lana Del Rey","High By The Beach",0.495,0.555,0.495,11,-11.286,0,0.0346,0.229,0.00653,0.12,0.0992,131.966,"0"
"122","Lana Del Rey","Freak",0.43,0.287,0.43,5,-10.014,0,0.033,0.269,0.000579,0.32,0.109,93.984,"0"
"123","Lana Del Rey","Art Deco",0.464,0.282,0.464,11,-11.112,0,0.0533,0.544,0.215,0.111,0.0596,148.345,"0"
"124","Lana Del Rey","Burnt Norton - Interlude",0.304,0.28,0.304,8,-18.57,1,0.0359,0.9,0.806,0.135,0.523,85.765,"0"
"125","Lana Del Rey","Religion",0.459,0.416,0.459,9,-9.977,0,0.0366,0.813,0.0428,0.102,0.175,135.689,"0"
"126","Lana Del Rey","Salvatore",0.311,0.304,0.311,11,-9.647,0,0.0344,0.675,0.00195,0.12,0.115,117.68,"0"
"127","Lana Del Rey","The Blackest Day",0.522,0.445,0.522,2,-8.007,1,0.0331,0.363,0.000487,0.0797,0.162,107.752,"0"
"128","Lana Del Rey","24",0.372,0.284,0.372,8,-9.821,0,0.0356,0.782,0.000183,0.103,0.0853,98.181,"0"
"129","Lana Del Rey","Swan Song",0.361,0.34,0.361,1,-11.567,0,0.0294,0.636,0.421,0.259,0.0392,81.765,"0"
"130","Lana Del Rey","Don't Let Me Be Misunderstood",0.351,0.327,0.351,9,-10.488,0,0.0327,0.316,5.93e-06,0.107,0.063,80.386,"0"
"131","Lana Del Rey","Cruel World",0.507,0.33,0.507,5,-6.368,0,0.0339,0.274,4.65e-06,0.122,0.177,122.164,"0"
"132","Lana Del Rey","Ultraviolence",0.541,0.144,0.541,0,-7.076,1,0.038,0.278,1.01e-05,0.101,0.0899,79.262,"0"
"133","Lana Del Rey","Shades Of Cool",0.482,0.262,0.482,2,-6.863,0,0.0302,0.554,0.0161,0.244,0.0878,137.918,"0"
"134","Lana Del Rey","Brooklyn Baby",0.664,0.404,0.664,1,-6.698,1,0.0407,0.542,0.00402,0.11,0.0949,107.747,"0"
"135","Lana Del Rey","West Coast",0.591,0.527,0.591,6,-7.664,0,0.0396,0.194,0.0194,0.0907,0.461,123.167,"0"
"136","Lana Del Rey","Sad Girl",0.587,0.345,0.587,5,-8.346,1,0.0364,0.539,0.0731,0.119,0.258,119.479,"0"
"137","Lana Del Rey","Pretty When You Cry",0.547,0.509,0.547,10,-6.548,0,0.0417,0.399,0,0.215,0.197,109.436,"0"
"138","Lana Del Rey","Money Power Glory",0.525,0.349,0.525,8,-6.829,0,0.0451,0.583,0,0.35,0.288,136.762,"0"
"139","Lana Del Rey","Fucked My Way Up To The Top",0.69,0.52,0.69,5,-5.919,1,0.0554,0.601,0.201,0.137,0.182,129.839,"0"
"140","Lana Del Rey","Old Money",0.168,0.312,0.168,10,-12.476,0,0.0332,0.888,6.59e-06,0.147,0.154,108.115,"0"
"141","Lana Del Rey","The Other Woman",0.468,0.255,0.468,7,-6.43,0,0.0317,0.822,0.248,0.339,0.175,111.67,"0"
"142","Lana Del Rey","Black Beauty",0.529,0.32,0.529,5,-7.595,1,0.0436,0.27,0.0136,0.0942,0.103,119.898,"0"
"143","Lana Del Rey","Guns And Roses",0.666,0.533,0.666,8,-8.957,0,0.0448,0.3,0.00862,0.115,0.343,108.928,"0"
"144","Lana Del Rey","Florida Kilos",0.513,0.266,0.513,0,-7.852,1,0.0388,0.28,5.98e-05,0.11,0.579,200.781,"0"
"145","Lana Del Rey","Flipside",0.37,0.341,0.37,9,-9.264,1,0.0349,0.871,0.0133,0.101,0.0607,125.961,"0"
"146","Lana Del Rey","Cruel World",0.506,0.325,0.506,5,-6.398,0,0.0336,0.282,5.36e-06,0.124,0.212,120.505,"0"
"147","Lana Del Rey","Ultraviolence",0.541,0.144,0.541,0,-7.076,1,0.038,0.278,1.01e-05,0.101,0.0899,79.262,"0"
"148","Lana Del Rey","Shades Of Cool",0.482,0.262,0.482,2,-6.863,0,0.0302,0.554,0.0161,0.244,0.0878,137.918,"0"
"149","Lana Del Rey","Brooklyn Baby",0.664,0.404,0.664,1,-6.698,1,0.0407,0.542,0.00402,0.11,0.0949,107.747,"0"
"150","Lana Del Rey","West Coast",0.591,0.527,0.591,6,-7.664,0,0.0396,0.194,0.0194,0.0907,0.461,123.167,"0"
"151","Lana Del Rey","Sad Girl",0.587,0.345,0.587,5,-8.346,1,0.0364,0.539,0.0731,0.119,0.258,119.479,"0"
"152","Lana Del Rey","Pretty When You Cry",0.547,0.509,0.547,10,-6.548,0,0.0417,0.399,0,0.215,0.197,109.436,"0"
"153","Lana Del Rey","Money Power Glory",0.525,0.349,0.525,8,-6.829,0,0.0451,0.583,0,0.35,0.288,136.762,"0"
"154","Lana Del Rey","Fucked My Way Up To The Top",0.69,0.52,0.69,5,-5.919,1,0.0554,0.601,0.201,0.137,0.182,129.839,"0"
"155","Lana Del Rey","Old Money",0.168,0.312,0.168,10,-12.476,0,0.0332,0.888,6.59e-06,0.147,0.154,108.115,"0"
"156","Lana Del Rey","The Other Woman",0.468,0.255,0.468,7,-6.43,0,0.0317,0.822,0.248,0.339,0.175,111.67,"0"
"157","Lana Del Rey","West Coast - Radio Mix",0.525,0.599,0.525,6,-7.482,0,0.0302,0.0535,0,0.112,0.633,103.998,"0"
"158","Lana Del Rey","Black Beauty",0.53,0.316,0.53,5,-7.562,1,0.0421,0.272,0.0222,0.099,0.0965,119.37,"0"
"159","Lana Del Rey","Guns And Roses",0.649,0.536,0.649,8,-8.944,0,0.0448,0.354,0.00515,0.115,0.334,108.927,"0"
"160","Lana Del Rey","Florida Kilos",0.505,0.266,0.505,0,-7.809,1,0.0377,0.291,4.63e-05,0.108,0.588,200.755,"0"
"161","Lana Del Rey","Cruel World",0.507,0.33,0.507,5,-6.368,0,0.0339,0.274,4.65e-06,0.122,0.177,122.164,"0"
"162","Lana Del Rey","Ultraviolence",0.541,0.144,0.541,0,-7.076,1,0.038,0.278,1.01e-05,0.101,0.0899,79.262,"0"
"163","Lana Del Rey","Shades Of Cool",0.482,0.262,0.482,2,-6.863,0,0.0302,0.554,0.0161,0.244,0.0878,137.918,"0"
"164","Lana Del Rey","Brooklyn Baby",0.664,0.404,0.664,1,-6.698,1,0.0407,0.542,0.00402,0.11,0.0949,107.747,"0"
"165","Lana Del Rey","West Coast",0.591,0.527,0.591,6,-7.664,0,0.0396,0.194,0.0194,0.0907,0.461,123.167,"0"
"166","Lana Del Rey","Sad Girl",0.587,0.345,0.587,5,-8.346,1,0.0364,0.539,0.0731,0.119,0.258,119.479,"0"
"167","Lana Del Rey","Pretty When You Cry",0.547,0.509,0.547,10,-6.548,0,0.0417,0.399,0,0.215,0.197,109.436,"0"
"168","Lana Del Rey","Money Power Glory",0.525,0.349,0.525,8,-6.829,0,0.0451,0.583,0,0.35,0.288,136.762,"0"
"169","Lana Del Rey","Fucked My Way Up To The Top",0.69,0.52,0.69,5,-5.919,1,0.0554,0.601,0.201,0.137,0.182,129.839,"0"
"170","Lana Del Rey","Old Money",0.168,0.312,0.168,10,-12.476,0,0.0332,0.888,6.59e-06,0.147,0.154,108.115,"0"
"171","Lana Del Rey","The Other Woman",0.468,0.255,0.468,7,-6.43,0,0.0317,0.822,0.248,0.339,0.175,111.67,"0"
"172","Lana Del Rey","Black Beauty",0.529,0.32,0.529,5,-7.595,1,0.0436,0.27,0.0136,0.0942,0.103,119.898,"0"
"173","Lana Del Rey","Guns And Roses",0.666,0.533,0.666,8,-8.957,0,0.0448,0.3,0.00862,0.115,0.343,108.928,"0"
"174","Lana Del Rey","Florida Kilos",0.513,0.266,0.513,0,-7.852,1,0.0388,0.28,5.98e-05,0.11,0.579,200.781,"0"
"175","Lana Del Rey","Cruel World",0.507,0.33,0.507,5,-6.368,0,0.0339,0.274,4.65e-06,0.122,0.177,122.164,"0"
"176","Lana Del Rey","Ultraviolence",0.541,0.144,0.541,0,-7.076,1,0.038,0.278,1.01e-05,0.101,0.0899,79.262,"0"
"177","Lana Del Rey","Shades Of Cool",0.482,0.262,0.482,2,-6.863,0,0.0302,0.554,0.0161,0.244,0.0878,137.918,"0"
"178","Lana Del Rey","Brooklyn Baby",0.664,0.404,0.664,1,-6.698,1,0.0407,0.542,0.00402,0.11,0.0949,107.747,"0"
"179","Lana Del Rey","West Coast",0.591,0.527,0.591,6,-7.664,0,0.0396,0.194,0.0194,0.0907,0.461,123.167,"0"
"180","Lana Del Rey","Sad Girl",0.587,0.345,0.587,5,-8.346,1,0.0364,0.539,0.0731,0.119,0.258,119.479,"0"
"181","Lana Del Rey","Pretty When You Cry",0.547,0.509,0.547,10,-6.548,0,0.0417,0.399,0,0.215,0.197,109.436,"0"
"182","Lana Del Rey","Money Power Glory",0.525,0.349,0.525,8,-6.829,0,0.0451,0.583,0,0.35,0.288,136.762,"0"
"183","Lana Del Rey","Fucked My Way Up To The Top",0.69,0.52,0.69,5,-5.919,1,0.0554,0.601,0.201,0.137,0.182,129.839,"0"
"184","Lana Del Rey","Old Money",0.168,0.312,0.168,10,-12.476,0,0.0332,0.888,6.59e-06,0.147,0.154,108.115,"0"
"185","Lana Del Rey","The Other Woman",0.468,0.255,0.468,7,-6.43,0,0.0317,0.822,0.248,0.339,0.175,111.67,"0"
"186","Lana Del Rey","Black Beauty",0.529,0.32,0.529,5,-7.595,1,0.0436,0.27,0.0136,0.0942,0.103,119.898,"0"
"187","Lana Del Rey","Guns And Roses",0.666,0.533,0.666,8,-8.957,0,0.0448,0.3,0.00862,0.115,0.343,108.928,"0"
"188","Lana Del Rey","Florida Kilos",0.513,0.266,0.513,0,-7.852,1,0.0388,0.28,5.98e-05,0.11,0.579,200.781,"0"
"189","Lana Del Rey","Cruel World",0.507,0.33,0.507,5,-6.368,0,0.0339,0.274,4.65e-06,0.122,0.177,122.164,"0"
