producer,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
epworth,0.598,0.643,-6.933,1,0.0364,0.164,3.35e-5,0.0992,0.349,115.41
epworth,0.571,0.415,-8.361,0,0.0348,0.482,4.26e-5,0.155,0.311,90.975
epworth,0.566,0.997,-2.335,0,0.239,1.32e-4,0.0107,0.0684,0.163,107.538
epworth,0.641,0.657,-4.559,0,0.0393,0.0706,0,0.074,0.847,99.976
epworth,0.329,0.591,-16.101,0,0.0524,3.93e-4,1.5e-5,0.166,0.471,152.861
epworth,0.682,0.908,-5.789,0,0.0809,0.00235,4.62e-4,0.0695,0.18,130.071
epworth,0.477,0.942,-3.359,1,0.0798,0.00212,3.34e-6,0.26,0.133,110.012
epworth,0.469,0.912,-4.198,0,0.0871,7.82e-4,1.07e-4,0.299,0.511,94.972
epworth,0.707,0.568,-6.931,1,0.0695,0.802,0.451,0.233,0.311,81.515
epworth,0.246,0.945,-3.809,1,0.111,9.05e-4,0.606,0.103,0.318,157.408
epworth,0.721,0.405,-15.397,1,0.0305,0.0927,0.467,0.0812,0.862,161.932
epworth,0.562,0.587,-8.06,1,0.0282,0.406,0.00152,0.0563,0.706,140.951
epworth,0.597,0.732,-7.607,1,0.0373,0.00588,0.0155,0.135,0.0765,115.076
epworth,0.365,0.763,-9.45,0,0.0591,0.00726,4.57e-4,0.0865,0.342,148.366
epworth,0.468,0.779,-4.839,1,0.0779,0.112,3.73e-4,0.101,0.26,173.799
epworth,0.686,0.741,-5.617,0,0.0398,0.0711,5.37e-4,0.164,0.156,123.92
epworth,0.664,0.781,-6.547,1,0.0339,0.00103,5.33e-6,0.0867,0.593,110
epworth,0.416,0.752,-5.471,1,0.0396,0.251,0,0.125,0.266,155.89
epworth,0.577,0.646,-8.923,0,0.0423,0.0488,0.477,0.0927,0.734,170
epworth,0.418,0.672,-5.989,0,0.0429,0.00686,2.14e-6,0.277,0.353,82.134
epworth,0.598,0.511,-11.873,1,0.0346,0.128,1.32e-6,0.432,0.309,122.002
epworth,0.558,0.408,-8.235,1,0.0253,0.05,0.013,0.125,0.162,82.021
epworth,0.657,0.985,-3.22,1,0.109,0.119,0,0.641,0.776,150.038
epworth,0.419,0.00826,-32.189,1,0.0369,0.993,0.881,0.0812,0.368,71.484
epworth,0.564,0.779,-6.041,0,0.0429,0.00119,3.29e-5,0.385,0.506,132.027
epworth,0.209,0.222,-36.498,1,0.162,1.55e-6,0.946,0.872,0.13,78.549
epworth,0.529,0.659,-5.318,1,0.0629,0.0232,0,0.114,0.36,138.196
epworth,0.763,0.527,-6.779,1,0.123,0.0562,0.00384,0.0918,0.493,156.047
epworth,0.424,0.782,-8.574,0,0.0297,5.38e-4,0.815,0.125,0.31,121.694
epworth,0.394,0.148,-12.577,0,0.0344,0.951,0.0349,0.138,0.0385,66.339
epworth,0.475,0.51,-6.563,1,0.0274,0.719,9.68e-6,0.112,0.226,79.9
epworth,0.464,0.788,-6.405,1,0.0405,0.144,0,0.195,0.186,104.965
epworth,0.733,0.726,-9.894,0,0.0366,0.278,0.83,0.173,0.0823,117.991
epworth,0.596,0.574,-9.373,0,0.212,0.0409,0,0.147,0.439,131.075
epworth,0.717,0.298,-9.237,0,0.0394,0.555,0.00293,0.0997,0.262,116.039
epworth,0.306,0.847,-2.875,1,0.303,0.136,2.1e-4,0.317,0.142,83.659
epworth,0.793,0.57,-13.961,1,0.0487,0.0111,0.489,0.0902,0.665,130.044
