producer,term,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,energy,danceability
kurstin,speechiness,NA,NA,NA,NA,NA,-0.09957190922952208,0.05535039166527261,0.15023032285325502,0.19693136591461075
kurstin,mode,NA,NA,NA,NA,NA,NA,-0.045841128305998805,-0.023563291503414727,-0.10213917415702105
kurstin,loudness,NA,NA,NA,NA,NA,NA,NA,0.7006430296327361,0.24556519399856974
kurstin,energy,NA,NA,NA,NA,NA,NA,NA,NA,0.1661435596014725
little,tempo,-0.08972770555871092,6.605944708436153e-4,0.08322978468095711,-0.14573191308173208,-0.1730263161810932,0.045466767856088636,0.1427711128849698,0.17993805089101206,-0.3532276314294838
little,valence,NA,0.08208476879891498,-0.14472281353489258,-0.44946547833084965,0.24546624097578132,-0.034514753411332554,0.5621873171935998,0.5599938095106899,0.4890215899330152
little,liveness,NA,NA,0.1933614261355985,-0.21707049001952505,0.29795666525296466,-0.2599039636454439,-0.07138129378069631,0.12285931636881434,-0.14351249374139208
little,instrumentalness,NA,NA,NA,0.021158955794154343,-0.024128597379402542,0.01688698792833385,-0.15459941388287401,-0.013250935253409977,-0.11175326620920395
little,acousticness,NA,NA,NA,NA,-0.25924647583150284,-0.08757659494252976,-0.6017721509267803,-0.7097157530055873,-0.2075083071445001
little,speechiness,NA,NA,NA,NA,NA,-0.010280807597413512,0.11105254815580616,0.269876712007379,0.1291042608734961
little,mode,NA,NA,NA,NA,NA,NA,-0.021891958966696903,-0.0066802674311147465,-0.02474356780648093
little,loudness,NA,NA,NA,NA,NA,NA,NA,0.8211407840612119,0.2553192610341548
little,energy,NA,NA,NA,NA,NA,NA,NA,NA,0.21120488132812062
martin,tempo,0.02629905135221589,0.010032163923907786,0.0038021466871022125,-0.1636019197745232,0.07945390258082104,0.005559051863635581,0.06631858479239867,0.10037460831106777,-0.19375672440288075
martin,valence,NA,0.045324737462615526,-0.13532389475742884,-0.3088678587358307,0.008742676377411112,-0.042922075798423096,0.3566993135143397,0.49317859902503575,0.47226060400792036
martin,liveness,NA,NA,-0.0839296384530944,0.01237916417372018,0.05840556940600721,-0.06190395958885355,0.006687051122621222,0.14546334385534238,-0.07959978390485846
martin,instrumentalness,NA,NA,NA,0.2442395201055608,-0.09114491155611718,-0.002856670109591161,-0.4167675592271094,-0.22938923829484928,-0.16945164697815143
martin,acousticness,NA,NA,NA,NA,-0.017752599185159167,0.01659731607951663,-0.5684644279758916,-0.6754156099691792,-0.30923018948940073
martin,speechiness,NA,NA,NA,NA,NA,-0.12228365187332584,-0.03907216793825907,0.07660467003570318,0.13085065700029197
martin,mode,NA,NA,NA,NA,NA,NA,-0.0019549528946132674,-0.02134810196036836,-0.11377895081417198
martin,loudness,NA,NA,NA,NA,NA,NA,NA,0.7201098213832114,0.2086864062164752
martin,energy,NA,NA,NA,NA,NA,NA,NA,NA,0.2063222710329813
nowels,tempo,-0.21196132409827675,-0.24501646740624672,-0.2354918677767538,-0.12230113679161256,0.2900209939037932,0.28880495521008426,0.23767708402924026,0.24366274830427673,-0.15541110265561925
