"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_name","artist_name","album_name","producer","artist_id","album_id","key_name","mode_name","key_mode","Unnamed: 0","album_type","album_images","album_release_date","album_release_year","album_release_date_precision","track_id","artists","available_markets","disc_number","explicit","is_local","track_preview_url","track_number","track_uri","external_urls.spotify"
0.451,0.222,4,-15.508,1,0.0285,0.837,0.63,0.0978,0.179,138.943,"audio_features","3BdHMOIA9B0bN53jbE5nWe","spotify:track:3BdHMOIA9B0bN53jbE5nWe","https://api.spotify.com/v1/tracks/3BdHMOIA9B0bN53jbE5nWe","https://api.spotify.com/v1/audio-analysis/3BdHMOIA9B0bN53jbE5nWe",310733,3,"Blue Light","Mazzy Star","So Tonight That I Might See","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.563,0.951,2,-5.357,1,0.231,0.0116,0.434,0.0631,0.184,150.163,"audio_features","5eZayur1Lv8N0RLKaMUW3b","spotify:track:5eZayur1Lv8N0RLKaMUW3b","https://api.spotify.com/v1/tracks/5eZayur1Lv8N0RLKaMUW3b","https://api.spotify.com/v1/audio-analysis/5eZayur1Lv8N0RLKaMUW3b",209307,4,"She's Hearing Voices","Bloc Party","Silent Alarm","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.453,0.938,0,-5.344,1,0.0386,0.00306,0.00318,0.132,0.261,160.005,"audio_features","2PAhcPwab2sJz340QHtunD","spotify:track:2PAhcPwab2sJz340QHtunD","https://api.spotify.com/v1/tracks/2PAhcPwab2sJz340QHtunD","https://api.spotify.com/v1/audio-analysis/2PAhcPwab2sJz340QHtunD",265707,4,"This Modern Love","Bloc Party","Silent Alarm","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.475,0.385,5,-9.966,0,0.028,0.386,0.00348,0.0968,0.0845,99.997,"audio_features","2fOs1YeQPjNEIZgLbI80h5","spotify:track:2fOs1YeQPjNEIZgLbI80h5","https://api.spotify.com/v1/tracks/2fOs1YeQPjNEIZgLbI80h5","https://api.spotify.com/v1/audio-analysis/2fOs1YeQPjNEIZgLbI80h5",323947,4,"Pioneers","for KING & COUNTRY","Burn The Ships","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.555,0.92,11,-4.9,0,0.0807,5.17e-05,0.0275,0.445,0.635,170.176,"audio_features","01iIEbMiRdwhWADZMgLczS","spotify:track:01iIEbMiRdwhWADZMgLczS","https://api.spotify.com/v1/tracks/01iIEbMiRdwhWADZMgLczS","https://api.spotify.com/v1/audio-analysis/01iIEbMiRdwhWADZMgLczS",259227,4,"The Price of Gasoline","Bloc Party","Silent Alarm","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.747,0.629,9,-8.509,0,0.0363,0.328,0.00409,0.154,0.793,127.819,"audio_features","3RA55zrRkyPK8Fd86hrMy8","spotify:track:3RA55zrRkyPK8Fd86hrMy8","https://api.spotify.com/v1/tracks/3RA55zrRkyPK8Fd86hrMy8","https://api.spotify.com/v1/audio-analysis/3RA55zrRkyPK8Fd86hrMy8",163552,3,"LUNA","Peso Pluma","GÉNESIS","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.594,0.703,3,-5.305,1,0.0671,0.191,1.14e-06,0.129,0.338,123.939,"audio_features","3Zx07k3IUO99TVIBBYo3KZ","spotify:track:3Zx07k3IUO99TVIBBYo3KZ","https://api.spotify.com/v1/tracks/3Zx07k3IUO99TVIBBYo3KZ","https://api.spotify.com/v1/audio-analysis/3Zx07k3IUO99TVIBBYo3KZ",278226,4,"Plans","Elephante","I Am The Elephante","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.533,0.47,11,-12.394,1,0.0723,0.776,2.09e-06,0.172,0.0534,101.361,"audio_features","6wvRb6w31lDg5KdQBxtS6p","spotify:track:6wvRb6w31lDg5KdQBxtS6p","https://api.spotify.com/v1/tracks/6wvRb6w31lDg5KdQBxtS6p","https://api.spotify.com/v1/audio-analysis/6wvRb6w31lDg5KdQBxtS6p",114678,4,"Compliments","Mariboy Mula Mar","Bitty Breaker","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.591,0.899,10,-4.609,1,0.0478,0.000262,0.00695,0.0827,0.809,155.043,"audio_features","4urLu52aJVoztkEJH0hSKw","spotify:track:4urLu52aJVoztkEJH0hSKw","https://api.spotify.com/v1/tracks/4urLu52aJVoztkEJH0hSKw","https://api.spotify.com/v1/audio-analysis/4urLu52aJVoztkEJH0hSKw",267533,4,"Two More Years - Single Version","Bloc Party","Two More Years / Hero","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.378,0.953,9,-3.632,1,0.139,0.000706,2.83e-05,0.0935,0.512,167.808,"audio_features","1GBBhEVBjf1JOulr4ndhip","spotify:track:1GBBhEVBjf1JOulr4ndhip","https://api.spotify.com/v1/tracks/1GBBhEVBjf1JOulr4ndhip","https://api.spotify.com/v1/audio-analysis/1GBBhEVBjf1JOulr4ndhip",200347,4,"Apply Some Pressure","Maximo Park","A Certain Trigger","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.589,0.706,5,-5.876,0,0.088,0.168,0,0.116,0.335,140.1,"audio_features","6oLANSb6vq2T5tIg92FxCW","spotify:track:6oLANSb6vq2T5tIg92FxCW","https://api.spotify.com/v1/tracks/6oLANSb6vq2T5tIg92FxCW","https://api.spotify.com/v1/audio-analysis/6oLANSb6vq2T5tIg92FxCW",206398,4,"Graffiti","YoungBoy Never Broke Again","AI YoungBoy","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.464,0.869,9,-4.415,1,0.0738,0.00417,0.000305,0.0821,0.636,167.973,"audio_features","5V9jioafuzWPx4mziwr8AG","spotify:track:5V9jioafuzWPx4mziwr8AG","https://api.spotify.com/v1/tracks/5V9jioafuzWPx4mziwr8AG","https://api.spotify.com/v1/audio-analysis/5V9jioafuzWPx4mziwr8AG",145573,4,"Signal And Sign","Maximo Park","A Certain Trigger","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.569,0.93,6,-3.273,0,0.0836,0.138,0,0.0967,0.76,104.986,"audio_features","3qISHd1jagwv3CNOvOraiV","spotify:track:3qISHd1jagwv3CNOvOraiV","https://api.spotify.com/v1/tracks/3qISHd1jagwv3CNOvOraiV","https://api.spotify.com/v1/audio-analysis/3qISHd1jagwv3CNOvOraiV",134813,4,"Postcard Of A Painting","Maximo Park","A Certain Trigger","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.387,0.841,4,-5.09,0,0.0558,0.161,0.473,0.233,0.414,144.823,"audio_features","1T8qkEl5Q6pddBHylj0uIV","spotify:track:1T8qkEl5Q6pddBHylj0uIV","https://api.spotify.com/v1/tracks/1T8qkEl5Q6pddBHylj0uIV","https://api.spotify.com/v1/audio-analysis/1T8qkEl5Q6pddBHylj0uIV",222187,4,"Going Missing","Maximo Park","A Certain Trigger","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
